v1	v2
0.124	0.17
0.221	0.91
0.318	2.85
0.462	10.02
0.601	24.09
0.761	51.87
0.884	78.67
0.940	91.47
1.021	109.32
1.058	117.01
1.123	129.90
1.196	142.58
1.262	152.34
1.301	157.50
1.353	163.35
1.393	167.13
1.440	170.70
1.496	173.96
1.543	175.85
1.601	177.31
1.644	177.77
1.698	177.80
1.725	177.64
1.770	176.99
1.840	175.25
1.900	173.23
1.955	171.02
2.017	168.17
2.068	165.70
2.212	157.99
2.370	148.90
2.500	140.32
2.675	131.89
2.853	123.26
2.983	117.63
3.198	109.39
3.417	102.89
3.584	98.53
3.777	94.18
4.029	89.07
4.222	85.56
4.295	84.16
4.399	82.60
4.500	81.45
4.604	80.20
4.687	78.69
4.790	77.59
4.920	76.10
5.048	75.00
5.102	74.72
5.217	74.03
5.267	73.55
5.360	72.30
5.410	71.78
5.482	71.36
5.560	71.02
5.674	70.65
5.733	70.73
5.845	70.62
5.906	70.86
5.979	70.66
6.050	70.50
6.103	70.60
6.160	70.70
6.222	70.83
6.286	70.84
6.358	70.90
6.430	71.10
6.535	71.33
6.641	71.60
6.704	71.85
6.803	72.30
6.904	72.94
7.052	73.73
7.218	74.64
7.384	75.80
7.644	77.42
7.850	78.63
8.042	80.10
8.517	85.50
8.973	90.92
9.531	106.83
10.047	115.92
10.490	123.94
10.927	139.19
11.595	158.27
